"Order_ID","Loan_ID","Interest_Rate","Tenure","Repayment_Type","LenDenClub_Score","Disbursement_Date","Disbursed_Amount","Loan_Status","Principal_Received","Interest_Received","Fee_Charges_Deducted","Total_Amount_Received","Profit_Loss","days_past_due","NPA","Loan_Closure"
"ML17405446376888","LOA-NJG9Q5XN","48","3","Monthly","751","27/02/2025","250","CLOSED","250.01","27.08","4.25","277.09","27.09","0","0","28/07/2025"
"ML17404610063282","LOA-EEP9BZ9V","48","3","Monthly","751","25/02/2025","250","CLOSED","250","27.75","4.25","277.75","27.75","0","0","02/06/2025"
"ML17404610063282","LOA-A5AJ65M3","48","3","Monthly","754","25/02/2025","250","CLOSED","250","27.75","4.25","277.75","27.75","0","0","01/06/2025"
"ML17402068741835","LOA-MR543UPJ","46.8","3","Monthly","720","22/02/2025","250","CLOSED","250","25.53","4.25","275.53","25.53","0","0","28/02/2025"
"ML17398532210913","LOA-QR19KBDN","48","3","Monthly","751","18/02/2025","250","CLOSED","250","19.75","4.25","269.75","19.75","0","0","02/05/2025"
"ML17398531409766","LOA-2KMBLF12","48","3","Monthly","754","18/02/2025","250","CLOSED","250","19.75","4.25","269.75","19.75","0","0","02/05/2025"
"ML17396104538473","LOA-FFF7THRA","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.12","4.25","270.12","20.12","0","0","01/03/2025"
"ML17396104538473","LOA-SKXZ6JLQ","54","3","Monthly","730","15/02/2025","250","CLOSED","250","23.88","4.25","273.88","23.88","0","0","25/02/2025"
"ML17396104538473","LOA-8HJA4LPV","48","3","Monthly","751","15/02/2025","250","CLOSED","250","21.74","4.25","271.74","21.74","0","0","06/05/2025"
"ML17396104538473","LOA-S2GQ9C94","48","3","Monthly","771","15/02/2025","250","CLOSED","250","20.75","4.25","270.75","20.75","0","0","30/04/2025"
"ML17396104538473","LOA-F8M3G1YM","48","3","Monthly","771","15/02/2025","250","CLOSED","166.67","15.06","2.83","181.72","-68.28","330","83.33","29/08/2025"
"ML17396104538473","LOA-6YP3CL9V","47.76","3","Monthly","712","15/02/2025","250","CLOSED","250","20.63","4.25","270.62","20.62","0","0","02/05/2025"
"ML17396104538473","LOA-FSTQ7BQD","47.4","3","Monthly","730","15/02/2025","250","CLOSED","250","20.44","4.25","270.44","20.44","0","0","28/04/2025"
"ML17396104538473","LOA-4AU2V536","47.4","3","Monthly","716","15/02/2025","250","CLOSED","166.67","13.63","2.83","180.29","-69.71","330","83.33","29/08/2025"
"ML17396104538473","LOA-9LXEF2VC","47.4","3","Monthly","771","15/02/2025","250","CLOSED","250","20.44","4.25","270.44","20.44","0","0","02/05/2025"
"ML17396104538473","LOA-LUCE7HEK","47.4","3","Monthly","751","15/02/2025","250","CLOSED","250","22.37","4.25","272.37","22.37","0","0","08/05/2025"
"ML17396104538473","LOA-UPCRE57T","47.4","3","Monthly","716","15/02/2025","250","CLOSED","250","21.04","4.25","271.04","21.04","0","0","07/05/2025"
"ML17396104538473","LOA-4PU3K8SZ","47.4","3","Monthly","716","15/02/2025","250","CLOSED","250","20.44","4.25","270.43","20.43","0","0","30/04/2025"
"ML17396104538473","LOA-TZQGKX3M","47.4","3","Monthly","771","16/02/2025","250","CLOSED","250","20.11","4.25","270.1","20.1","0","0","02/04/2025"
"ML17396104538473","LOA-ZJM1895M","47.4","3","Monthly","716","15/02/2025","250","CLOSED","250","23.64","0.63","273.65","23.65","0","0","24/02/2025"
"ML17396104538473","LOA-TCER7U14","47.28","3","Monthly","737","15/02/2025","250","CLOSED","250","28.04","4.25","278.04","28.04","0","0","05/11/2025"
"ML17396104538473","LOA-J4LD75UP","47.28","3","Monthly","737","15/02/2025","250","CLOSED","0","0","0","0","-250","391","250","29/06/2025"
"ML17396104538473","LOA-DHRQU4MA","47.28","3","Monthly","737","15/02/2025","250","CLOSED","250","22.78","4.25","272.79","22.79","0","0","13/05/2025"
"ML17396104538473","LOA-TYFL6G65","46.8","3","Monthly","712","15/02/2025","250","CLOSED","250","20.6","4.25","270.6","20.6","0","0","02/05/2025"
"ML17396104538473","LOA-YDNKVAYS","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","28/04/2025"
"ML17396104538473","LOA-T2K4KMSJ","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.13","4.25","270.12","20.12","0","0","01/03/2025"
"ML17396104538473","LOA-A1UJTDR9","46.8","3","Monthly","712","15/02/2025","250","CLOSED","166.67","13.42","2.83","180.09","-69.91","0","83.33","29/08/2025"
"ML17396104538473","LOA-QYVFRKDD","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","23.76","0.62","273.75","23.75","0","0","01/05/2025"
"ML17396104538473","LOA-CUTGU8YC","46.8","3","Monthly","716","16/02/2025","250","CLOSED","250.01","19.8","4.25","269.81","19.81","0","0","20/03/2025"
"ML17396104538473","LOA-H7UD3HNY","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.24","4.25","270.24","20.24","0","0","15/04/2025"
"ML17396104538473","LOA-YAVYFVNL","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","23.76","0.62","273.75","23.75","0","0","15/04/2025"
"ML17396104538473","LOA-E6KTU4SZ","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.84","4.25","270.84","20.84","0","0","02/05/2025"
"ML17396104538473","LOA-4KYXDM68","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","23.75","0.63","273.75","23.75","0","0","18/03/2025"
"ML17396104538473","LOA-YBG9B429","46.8","3","Monthly","712","15/02/2025","250","CLOSED","250","20.24","4.25","270.24","20.24","0","0","03/05/2025"
"ML17396008908685","LOA-XDX3AQMF","35.88","3","Monthly","771","15/02/2025","250","CLOSED","250","18.55","4.25","268.55","18.55","0","0","08/07/2025"
"ML17396004385564","LOA-JM4T4B85","45","3","Monthly","751","15/02/2025","250","CLOSED","250","19.3","4.25","269.3","19.3","0","0","03/05/2025"
"ML17396004385564","LOA-HLJUM2DA","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","27.5","4.25","277.5","27.5","0","0","12/11/2025"
"ML17396004385564","LOA-B5PTSC4V","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","23.46","4.25","273.46","23.46","0","0","30/04/2025"
"ML17396004385564","LOA-GNBEZS7V","46.8","3","Monthly","712","15/02/2025","250","CLOSED","250","21.08","4.25","271.08","21.08","0","0","13/05/2025"
"ML17396004385564","LOA-7LTD9LEZ","47.4","3","Monthly","716","15/02/2025","250","CLOSED","250","20.56","4.25","270.55","20.55","0","0","02/05/2025"
"ML17396004385564","LOA-LQJ6TPMA","47.4","3","Monthly","708","15/02/2025","250","CLOSED","0","0","0","0","-250","391","250","29/06/2025"
"ML17396004385564","LOA-29GY9EHR","47.4","3","Monthly","771","15/02/2025","250","CLOSED","250","34.42","4.25","284.42","34.42","0","0","16/06/2025"
"ML17396004385564","LOA-BQYQDUJJ","47.4","3","Monthly","754","15/02/2025","250","CLOSED","250","20.44","4.25","270.44","20.44","0","0","01/05/2025"
"ML17396004385564","LOA-ENEFS88T","47.4","3","Monthly","712","15/02/2025","250","CLOSED","250","20.44","4.25","270.44","20.44","0","0","01/05/2025"
"ML17396004385564","LOA-664SF9TG","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","20.43","4.25","270.43","20.43","0","0","06/05/2025"
"ML17396004385564","LOA-MHAXZKYJ","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.5","4.25","269.5","19.5","0","0","02/05/2025"
"ML17396004385564","LOA-BC6S2MRC","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.5","4.25","269.5","19.5","0","0","10/03/2025"
"ML17396004385564","LOA-ARHU1QYF","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.63","4.25","269.62","19.62","0","0","12/05/2025"
"ML17396004385564","LOA-8V7XLQDQ","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.5","4.25","269.5","19.5","0","0","08/04/2025"
"ML17396004385564","LOA-B31RDQEV","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.5","4.25","269.5","19.5","0","0","02/05/2025"
"ML17396004385564","LOA-1H4U6M82","45","3","Monthly","724","15/02/2025","250","CLOSED","250","21.26","0.62","271.25","21.25","0","0","04/03/2025"
"ML17396004385564","LOA-RX5DK79X","45","3","Monthly","751","15/02/2025","250","CLOSED","250","23.31","4.25","273.31","23.31","0","0","15/05/2025"
"ML17396004385564","LOA-MV2SHAYF","36","3","Monthly","771","15/02/2025","250","CLOSED","250","22.38","4.25","272.38","22.38","0","0","31/05/2025"
"ML17396004385564","LOA-SSUSHKMN","35.88","3","Monthly","754","15/02/2025","250","CLOSED","250","14.97","4.25","264.97","14.97","0","0","07/05/2025"
"ML17396004385564","LOA-72S77JTN","35.88","3","Monthly","754","15/02/2025","250","CLOSED","250","14.44","4.25","264.44","14.44","0","0","16/04/2025"
"ML17396004385564","LOA-RBMP9MAV","35.88","3","Monthly","771","15/02/2025","250","CLOSED","250","15.49","4.25","265.49","15.49","0","0","02/07/2025"
"ML17396004385564","LOA-BR7QRK42","35.88","3","Monthly","754","15/02/2025","250","ACTIVE","250","14.44","4.25","264.44","0","0","0","-"
"ML17396004385564","LOA-M7PXD3ZH","35.88","3","Monthly","771","15/02/2025","250","CLOSED","250","14.44","4.25","264.44","14.44","0","0","01/05/2025"
"ML17396004385564","LOA-DACVMF7N","47.76","3","Monthly","712","15/02/2025","250","CLOSED","250","20.63","4.25","270.62","20.62","0","0","02/04/2025"
"ML17396004385564","LOA-N3CQFJ3A","47.76","3","Monthly","712","15/02/2025","250","CLOSED","250","22.94","4.25","272.94","22.94","0","0","05/08/2025"
"ML17396004385564","LOA-783JK4D5","56.4","3","Monthly","720","15/02/2025","250","CLOSED","250","25.13","4.25","275.13","25.13","0","0","30/04/2025"
"ML17396004385564","LOA-5TP41T16","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.5","4.25","269.5","19.5","0","0","02/05/2025"
"ML17396004385564","LOA-B3BC3RZ3","45.6","3","Monthly","720","15/02/2025","250","CLOSED","83.33","6.5","1.42","89.83","-160.17","0","166.67","30/07/2025"
"ML17396004385564","LOA-ZC55L4Q8","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","20.57","4.25","270.56","20.56","0","0","05/05/2025"
"ML17396004385564","LOA-XLMKE7YB","45.6","3","Monthly","720","15/02/2025","250","CLOSED","0","0.35","0","0.35","-249.65","0","250","29/08/2025"
"ML17396004385564","LOA-VYX6C7AS","46.2","3","Monthly","716","15/02/2025","250","CLOSED","250","21.69","4.25","271.69","21.69","0","0","12/05/2025"
"ML17396004385564","LOA-P1QC888Z","46.2","3","Monthly","716","15/02/2025","250","CLOSED","83.33","6.6","1.42","89.94","-160.06","330","166.67","30/07/2025"
"ML17396004385564","LOA-ZC6QYF3G","46.2","3","Monthly","716","15/02/2025","250","CLOSED","250","19.81","4.25","269.81","19.81","0","0","20/03/2025"
"ML17396004385564","LOA-FZ8XQD6A","46.2","3","Monthly","724","15/02/2025","250","CLOSED","250","23.43","0.63","273.44","23.44","0","0","05/03/2025"
"ML17396004385564","LOA-Y1BXAU3P","46.2","3","Monthly","716","15/02/2025","250","CLOSED","250","20.64","4.25","270.64","20.64","0","0","14/04/2025"
"ML17396004385564","LOA-ZF6Z8A6R","46.32","3","Monthly","751","15/02/2025","250","CLOSED","0","0","0","0","-250","391","250","29/06/2025"
"ML17396004385564","LOA-EHP8H8XZ","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.12","4.25","270.13","20.13","0","0","28/04/2025"
"ML17396004385564","LOA-V87B5ET3","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","02/05/2025"
"ML17396004385564","LOA-JB3N3U8H","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.12","4.25","270.12","20.12","0","0","28/04/2025"
"ML17396004385564","LOA-U3RZ8ZXA","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","02/05/2025"
"ML17396004385564","LOA-KRSM75RP","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","31/08/2025"
"ML17396004385564","LOA-5DEGB464","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","17/02/2025"
"ML17396004385564","LOA-3V21HMX6","46.8","3","Monthly","712","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","01/05/2025"
"ML17396004385564","LOA-2EPJQ2BE","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","02/05/2025"
"ML17396004385564","LOA-QTEM2KS4","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.24","4.25","270.24","20.24","0","0","01/05/2025"
"ML17396004385564","LOA-ZN1CUBHY","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","22.04","4.25","272.03","22.03","0","0","01/05/2025"
"ML17396004385564","LOA-16YKRF92","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.24","4.25","270.24","20.24","0","0","28/04/2025"
"ML17395964768255","LOA-EDF3CF9M","35.88","3","Monthly","718","15/02/2025","250","CLOSED","250","14.44","4.25","264.44","14.44","0","0","30/04/2025"
"ML17395964768255","LOA-KGQSHPTB","46.2","3","Monthly","724","15/02/2025","250","CLOSED","250","21.67","0.62","271.67","21.67","0","0","31/03/2025"
"ML17395964768255","LOA-1QV8HD8J","46.32","3","Monthly","751","15/02/2025","250","CLOSED","250","19.88","4.25","269.88","19.88","0","0","28/04/2025"
"ML17395964768255","LOA-PJVH1AGE","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.17","4.25","270.17","20.17","0","0","06/05/2025"
"ML17395964768255","LOA-KG9Z2DCS","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250.01","20.13","4.25","270.13","20.13","0","0","11/04/2025"
"ML17395964768255","LOA-FEPF2G72","46.8","3","Monthly","751","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","30/04/2025"
"ML17395964768255","LOA-CYXU5343","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","22/04/2025"
"ML17395964768255","LOA-REDNT7XL","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","30/04/2025"
"ML17395964768255","LOA-JJ5BNJSV","46.8","3","Monthly","720","15/02/2025","250","CLOSED","250.01","20.13","4.25","270.13","20.13","0","0","02/05/2025"
"ML17395964768255","LOA-7G76PGQC","47.4","3","Monthly","744","15/02/2025","250","CLOSED","250","20.44","4.25","270.44","20.44","0","0","02/05/2025"
"ML17395964768255","LOA-8M6M6UTQ","47.4","3","Monthly","716","15/02/2025","250","CLOSED","250","20.44","4.25","270.44","20.44","0","0","28/04/2025"
"ML17395964768255","LOA-AY1YUCHF","46.2","3","Monthly","720","15/02/2025","250","CLOSED","250","19.6","4.25","269.6","19.6","0","0","28/03/2025"
"ML17395964768255","LOA-UM2E2RD3","48","3","Monthly","771","15/02/2025","250","CLOSED","250","20.75","4.25","270.75","20.75","0","0","19/04/2025"
"ML17395964768255","LOA-9L6UZ3D5","48","3","Monthly","771","15/02/2025","250","CLOSED","250","20.75","4.25","270.75","20.75","0","0","01/05/2025"
"ML17395964768255","LOA-JE15MQH1","51","3","Monthly","737","15/02/2025","250","CLOSED","250","22.31","4.25","272.31","22.31","0","0","10/03/2025"
"ML17395964768255","LOA-24DTPGT9","45","3","Monthly","751","15/02/2025","250","CLOSED","250","19.19","4.25","269.19","19.19","0","0","25/04/2025"
"ML17395964768255","LOA-64AYPMYE","45","3","Monthly","751","15/02/2025","250","CLOSED","250","19.19","4.25","269.19","19.19","0","0","23/04/2025"
"ML17395964768255","LOA-CGDCA195","45.6","3","Monthly","720","15/02/2025","250","CLOSED","248.38","19.53","4.22","267.91","17.91","0","1.62","29/08/2025"
"ML17395964768255","LOA-81Q3F727","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","20.43","4.25","270.42","20.42","0","0","09/05/2025"
"ML17395964768255","LOA-S8YE728L","46.2","3","Monthly","724","15/02/2025","250","CLOSED","250","23.44","0.62","273.44","23.44","0","0","02/05/2025"
"ML17395964768255","LOA-9XKF6KUL","45.6","3","Monthly","720","15/02/2025","250","CLOSED","250","19.5","4.25","269.5","19.5","0","0","02/05/2025"
"ML17395964768255","LOA-92F8LD59","46.2","3","Monthly","724","15/02/2025","250","CLOSED","250","23.44","0.62","273.44","23.44","0","0","02/05/2025"
"ML17395964768255","LOA-EP9TLURC","46.2","3","Monthly","724","15/02/2025","250","CLOSED","250","23.44","0.62","273.43","23.43","0","0","02/04/2025"
"ML17395964768255","LOA-JS9CU8TB","46.2","3","Monthly","724","15/02/2025","250","CLOSED","250","23.44","0.62","273.44","23.44","0","0","21/04/2025"
"ML3186089","LOA-9MG8X1EL","57","3","Monthly","724","09/10/2024","250","CLOSED","250","30.27","2.5","280.27","30.27","0","0","09/12/2024"
